9979,2015-10-21 00:00:00.000,16140538,14160242,$349,500,1964,East,4,1,House,Garage, Integrated garage, Other,48 Rue Cedar|Dollard-Des Ormeaux, Quebec H9B1H6,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16140538/48-Rue-Cedar-Dollard-Des-Ormeaux-Quebec-H9B1H6-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14160242&Lang=E,0,closed,NULL
10343,2015-10-22 00:00:00.000,15722487,19016613,$359,000,1993,Central East,4,1,House,Integrated garage, Garage, Other,16 Av. Augusta|Pointe-Claire, Quebec H9R5V4,Charming Bungalow for sale, A lot of lights. Walking distance to the École Primaire Jubilee and École Saint-Louis, minutes from Parc Northview. Perfect location.,http://www.realtor.ca/Residential/Single-Family/15722487/16-Av-Augusta-Pointe-Claire-Quebec-H9R5V4-Central-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT19016613&Lang=E,0,closed,NULL
10414,2015-10-22 00:00:00.000,15663642,12653014,$389,500,1993,Pierrefonds/West,4,1,House,Integrated garage, Garage, Other,18092 Rue d'Amalfi|Pierrefonds-Roxboro (Montréal), Quebec H9K1N7,Lovely 'Prevel' model. 3 bedroom cottage spacious rooms & open concept. Many new added features; New kitchen with granite counters, New powder room, H/W oak floors/stairway, Crown moldings, Pot lights, new second flr window thermal panes, finished basement, Private fenced backyard, landscaped, mature trees, tranquil location ..a delight to visit,http://www.realtor.ca/Residential/Single-Family/15663642/18092-Rue-dAmalfi-Pierrefonds-Roxboro-Montréal-Quebec-H9K1N7-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT12653014&Lang=E,0,closed,NULL
10425,2015-10-22 00:00:00.000,16099653,12142923,$399,000,1964,West,4,2,House,,458 Rue Hampton Court|Dollard-Des Ormeaux, Quebec H9G1L4,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16099653/458-Rue-Hampton-Court-Dollard-Des-Ormeaux-Quebec-H9G1L4-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT12142923&Lang=E,0,closed,NULL
10430,2015-10-22 00:00:00.000,15879410,24446450,$399,000,1974,South East,5,3,House,Integrated garage, Garage,27 Rue Eaton|Kirkland, Quebec H9H3S2,Prime Location Spacious 4+1 Bdrm Cottage with 3 bathrms + powder room; family room on main floor, large dining room with living room, wood floors. Upper levels offer 4 good size bedrooms with 2 full baths, hardwood floors.  The lower level offers large playroom, with bedroom and full newer bathroom, loads of storage space.,http://www.realtor.ca/Residential/Single-Family/15879410/27-Rue-Eaton-Kirkland-Quebec-H9H3S2-South-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE%26NoMLS=MT24446450&Lang=E,0,closed,NULL
35813,2016-01-24 00:00:00.000,16333757,15612350,$324,000,2005,Pierrefonds/West,3,1,House,Garage, Integrated garage,17831 Boul. de Pierrefonds|Pierrefonds-Roxboro (Montréal), Quebec H9J3L1,Bright 2-storey corner unit townhouse with attached private double garage. Enjoy 3 bedrooms, 1+1 bathrooms, large eat-in kitchen, open concept living and dining room, walk-in closet in master bedroom, central vacuum, A/C, access to private yard and much more!,http://www.realtor.ca/Residential/Single-Family/16333757/17831-Boul-de-Pierrefonds-Pierrefonds-Roxboro-Montréal-Quebec-H9J3L1-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=LONDONOGROUP%26NoMLS=MT15612350&Lang=E,0,closed,[{"IndividualID":1444003,"Name":"Tatiana Londono","Organization":{"OrganizationID":137827,"Name":"GROUPE IMMOBILIER LONDONO INC.","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1175937.jpg","Address":{"AddressText":"100 - 4150 Sherbrooke O. |Westmount, QC H3Z1C2"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"937-1717","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"937-2717","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"378755340"}],"Websites":[{"Websites":null,"WebsiteTypeId":"1"}],"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"912-3019","AreaCode":"514","PhoneTypeId":"1"}],"Emails":[{"ContactId":"386495124"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1121413.jpg","Position":"Certified Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Tatiana","LastName":"Londono","CorporationDisplayTypeId":"0","Websites":[{"Website":"http://www.tatianalondono.com","WebsiteTypeId":"1"}],"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null}]
10081,2015-10-21 00:00:00.000,16183936,19491435,$389,000,1973,North East,4,1,House,Garage,70 Rue Argyle|Kirkland, Quebec H9H3H7,GREAT home!GREAT location!Absolutely spotless 3+1 split level in Lacey Green area.Large entry,with a spacious luminous living room,dining room with beamed ceiling,oak eat-in kitchen with lots of cupboard space,MBDR with ensuite powder room,great walk-in mudroom perfect for the kids to leave shoes and school bags.Great backyard a real GEM come SEE!!,http://www.realtor.ca/Residential/Single-Family/16183936/70-Rue-Argyle-Kirkland-Quebec-H9H3H7-North-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT19491435&Lang=E,0,closed,NULL
35955,2016-01-24 00:00:00.000,16021992,22950641,$384,000,1965,West,4,1,House,Garage, Other,76 Rue Meadowvale|Dollard-Des Ormeaux, Quebec H9H1N7,Belle propriété, maison à étages,spacieuse & bien éclairée avec 4 chambres à coucher(poss.5em)dans un cul de sac,secteur familiar.Plancher de bois-franc, belle cuisine en bois,(2)salle de bain (granite),plusieurs rénovations effectuées au cours des années,cour intime paysagée,terr.6,000pi,proche de tout les services,près des écoles,parcs,autobus.,http://www.realtor.ca/Residential/Single-Family/16021992/76-Rue-Meadowvale-Dollard-Des-Ormeaux-Quebec-H9H1N7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE%26NoMLS=MT22950641&Lang=E,0,closed,[{"IndividualID":1645844,"Name":"Maritza Pinillos","Organization":{"OrganizationID":256158,"Name":"ROYAL LEPAGE PATRIMOINE","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1212133.jpg","Address":{"AddressText":"527 A Notre-Dame |Repentigny, QC J6A2T6"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"585-7771","AreaCode":"450","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"585-7772","AreaCode":"450","PhoneTypeId":"4"}],"Emails":[{"ContactId":"289039761"}],"Websites":null,"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"817-7354","AreaCode":"514","PhoneTypeId":"1"}],"Emails":[{"ContactId":"386869997"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1166515.jpg","Position":"Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Maritza","LastName":"Pinillos","CorporationDisplayTypeId":"0","Websites":[{"Website":"http://maritzapinillos.com","WebsiteTypeId":"1"}],"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null}]
10472,2015-10-23 00:00:00.000,16221278,9560065,$269,900,1957,Pierrefonds/Central East,4,2,House,Integrated garage, Garage, Other,13210 Rue Elizabeth|Pierrefonds-Roxboro (Montréal), Quebec H8Z1H2,Good family split-level home in great location near BUS. Many important updates: ROOF 2014, new Electric Forced Air Furnace & 200 amps electrical entry 2009 + more.  Most windows & doors changed. Updated Kitchen. Mostly wood strip floors. 2 Bathrooms. Ground level Family Room or 4th Bedroom next to garage. Close to schools, stores, BUS & TRAIN.,http://www.realtor.ca/Residential/Single-Family/16221278/13210-Rue-Elizabeth-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1H2-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT9560065&Lang=E,0,closed,NULL
36220,2016-01-26 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,[{"IndividualID":1958154,"Name":"Nasr Abou Nasr","Organization":{"OrganizationID":277240,"Name":"ROYAL LEPAGE VILLAGE - N.D.G.","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1282332.jpg","Address":{"AddressText":"5765 av. de Monkland |Montréal, QC H4A1E8"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"481-0241","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"487-0667","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"386787509"}],"Websites":[{"Websites":null,"WebsiteTypeId":"1"}],"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"481-0241","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"487-0667","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"388046103"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1249052.jpg","Position":"Residential Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Nasr","LastName":"Abou Nasr","CorporationDisplayTypeId":"0","Websites":[{"Website":"http://www.royallepagevillage.com","WebsiteTypeId":"1"}],"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null}]
10550,2015-10-23 00:00:00.000,16044030,28963993,$319,000,1984,Pierrefonds/West,4,1,House,Garage, Other,4842 Av. du Château-Pierrefonds|Pierrefonds-Roxboro (Montréal), Quebec H9K1J1,Located in most desirable area, this amazing semi-detached cottage is set on a beautifully manicured lot with a park just on the other side of the fence- therefore no neighbours in the back! Many renovations including new kitchen, new bathrooms, wood floors in living room, central a/c, central vacuum and much more. Schedule your visit today!,http://www.realtor.ca/Residential/Single-Family/16044030/4842-Av-du-Château-Pierrefonds-Pierrefonds-Roxboro-Montréal-Quebec-H9K1J1-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT28963993&Lang=E,0,closed,NULL
10708,2015-10-23 00:00:00.000,16167806,12798164,$375,000,1963,Central,4,2,House,Garage, Other,39 Rue Westpark|Dollard-Des Ormeaux, Quebec H9A2J5,Sunny family home that features 4 spacious bedrooms, 2.5 baths , beautiful wood floors.  Newer windows , heat pump , roof.  Finished basement.  Large fenced lot.  Driveway can accommodate up to 6 cars.  Prime Westpark location.  Public transport at the door & a short drive to the commuter train.  Close to schools , parks and all other amenities.,http://www.realtor.ca/Residential/Single-Family/16167806/39-Rue-Westpark-Dollard-Des-Ormeaux-Quebec-H9A2J5-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12798164&Lang=E,0,closed,NULL
